job_id,actual_start,completion_ts,machine_id,part_family,operator_shift,rework_flag,processing_minutes
J500045,2022-01-01 22:29:00,2022-01-01 23:18:24.000000000,M03,bracket,C,False,49.4
J500046,2022-01-01 22:56:00,2022-01-01 23:48:06.000000000,M08,plate,C,False,52.1
J500047,2022-01-01 23:16:00,2022-01-02 00:09:06.000000000,M01,shaft,C,False,53.1
J500048,2022-01-01 23:19:00,2022-01-02 00:10:24.000000000,M03,bracket,C,False,51.4
J500049,2022-01-02 00:18:00,2022-01-02 01:08:12.000000000,M12,flange,A,False,50.2
J500050,2022-01-02 01:35:00,2022-01-02 02:26:48.000000000,M01,flange,A,False,51.8
J500051,2022-01-02 01:48:00,2022-01-02 02:37:12.000000000,M03,gear,A,False,49.2
J500052,2022-01-02 02:15:00,2022-01-02 03:07:12.000000000,M02,shaft,A,False,52.2
J500053,2022-01-02 02:30:00,2022-01-02 03:20:36.000000000,M07,housing,A,False,50.6
J500054,2022-01-02 02:52:00,2022-01-02 03:45:18.000000000,M07,housing,A,False,53.3
J500055,2022-01-02 03:50:00,2022-01-02 04:40:00.000000000,M11,flange,A,False,50.0
J500056,2022-01-02 04:25:00,2022-01-02 05:15:06.000000000,M06,plate,A,False,50.1
J500057,2022-01-02 04:37:00,2022-01-02 05:29:18.000000000,M08,flange,A,False,52.3
J500058,2022-01-02 04:42:00,2022-01-02 05:34:12.000000000,M10,plate,A,False,52.2
J500059,2022-01-02 04:44:00,2022-01-02 05:33:00.000000000,M01,gear,A,False,49.0
J500060,2022-01-02 04:48:00,2022-01-02 05:38:36.000000000,M10,bracket,A,False,50.6
J500061,2022-01-02 06:29:00,2022-01-02 07:19:00.000000000,M02,plate,A,False,50.0
J500062,2022-01-02 06:35:00,2022-01-02 07:23:24.000000000,M06,gear,A,False,48.4
J500063,2022-01-02 06:45:00,2022-01-02 07:34:30.000000000,M02,housing,A,False,49.5
J500064,2022-01-02 08:17:00,2022-01-02 09:07:54.000000000,M09,flange,B,False,50.9
J500065,2022-01-02 08:36:00,2022-01-02 09:27:36.000000000,M10,shaft,B,False,51.6
J500066,2022-01-02 08:50:00,2022-01-02 09:43:24.000000000,M09,gear,B,False,53.4
J500067,2022-01-02 08:58:00,2022-01-02 09:50:48.000000000,M01,gear,B,False,52.8
J500068,2022-01-02 09:03:00,2022-01-02 09:57:18.000000000,M05,housing,B,False,54.3
J500069,2022-01-02 09:49:00,2022-01-02 10:41:30.000000000,M09,shaft,B,False,52.5
J500070,2022-01-02 12:11:00,2022-01-02 13:02:06.000000000,M12,bracket,B,False,51.1
J500071,2022-01-02 12:42:00,2022-01-02 13:33:30.000000000,M09,bracket,B,False,51.5
J500072,2022-01-02 12:42:00,2022-01-02 13:30:30.000000000,M08,shaft,B,False,48.5
J500073,2022-01-02 14:15:00,2022-01-02 15:03:48.000000000,M09,gear,B,False,48.8
J500074,2022-01-02 14:30:00,2022-01-02 15:23:12.000000000,M10,flange,B,True,53.2
J500075,2022-01-02 14:32:00,2022-01-02 15:27:00.000000000,M06,gear,B,False,55.0
J500076,2022-01-02 15:08:00,2022-01-02 16:02:42.000000000,M05,flange,B,False,54.7
J500077,2022-01-02 17:07:00,2022-01-02 17:53:06.000000000,M05,plate,C,False,46.1
J500078,2022-01-02 17:12:00,2022-01-02 18:04:30.000000000,M07,flange,C,False,52.5
J500079,2022-01-02 17:37:00,2022-01-02 18:29:54.000000000,M09,plate,C,False,52.9
J500080,2022-01-02 18:04:00,2022-01-02 18:52:48.000000000,M09,bracket,C,False,48.8
J500081,2022-01-02 19:25:00,2022-01-02 20:16:42.000000000,M10,housing,C,False,51.7
J500082,2022-01-02 19:37:00,2022-01-02 20:27:30.000000000,M11,bracket,C,False,50.5
J500083,2022-01-02 19:47:00,2022-01-02 20:36:48.000000000,M03,gear,C,False,49.8
J500084,2022-01-02 20:16:00,2022-01-02 21:07:30.000000000,M05,gear,C,False,51.5
J500085,2022-01-02 21:02:00,2022-01-02 21:52:06.000000000,M07,gear,C,False,50.1
J500086,2022-01-02 21:09:00,2022-01-02 22:00:54.000000000,M07,plate,C,False,51.9
J500087,2022-01-02 21:20:00,2022-01-02 22:10:24.000000000,M07,bracket,C,False,50.4
J500088,2022-01-02 21:25:00,2022-01-02 22:18:36.000000000,M09,flange,C,False,53.6
J500089,2022-01-02 21:29:00,2022-01-02 22:20:06.000000000,M12,shaft,C,False,51.1
J500090,2022-01-02 22:28:00,2022-01-02 23:17:00.000000000,M04,plate,C,False,49.0
J500091,2022-01-02 23:13:00,2022-01-03 00:04:18.000000000,M05,plate,C,False,51.3
J500092,2022-01-02 23:36:00,2022-01-03 00:26:06.000000000,M12,plate,C,False,50.1
J500093,2022-01-02 23:38:00,2022-01-03 00:28:42.000000000,M12,flange,C,False,50.7
J500094,2022-01-02 23:49:00,2022-01-03 00:41:24.000000000,M04,gear,C,False,52.4
J500095,2022-01-02 23:58:00,2022-01-03 00:54:18.000000000,M10,flange,C,False,56.3
J500096,2022-01-03 00:18:00,2022-01-03 01:08:42.000000000,M10,plate,A,False,50.7
J500097,2022-01-03 00:42:00,2022-01-03 01:31:54.000000000,M04,housing,A,False,49.9
J500098,2022-01-03 02:37:00,2022-01-03 03:27:00.000000000,M11,gear,A,False,50.0
J500099,2022-01-03 03:07:00,2022-01-03 03:59:36.000000000,M12,flange,A,False,52.6
J500100,2022-01-03 03:28:00,2022-01-03 04:15:36.000000000,M05,bracket,A,False,47.6
J500101,2022-01-03 03:44:00,2022-01-03 04:33:12.000000000,M09,flange,A,False,49.2
J500102,2022-01-03 04:12:00,2022-01-03 05:00:18.000000000,M02,plate,A,False,48.3
J500103,2022-01-03 04:40:00,2022-01-03 05:29:54.000000000,M01,bracket,A,False,49.9
J500104,2022-01-03 05:22:00,2022-01-03 06:14:00.000000000,M12,housing,A,False,52.0
J500105,2022-01-03 06:06:00,2022-01-03 06:55:30.000000000,M06,flange,A,False,49.5
J500106,2022-01-03 06:25:00,2022-01-03 07:16:12.000000000,M07,housing,A,False,51.2
J500107,2022-01-03 07:20:00,2022-01-03 08:09:30.000000000,M12,gear,A,False,49.5
J500108,2022-01-03 08:34:00,2022-01-03 09:22:54.000000000,M04,plate,B,False,48.9
J500109,2022-01-03 09:10:00,2022-01-03 09:58:18.000000000,M03,bracket,B,False,48.3
J500110,2022-01-03 09:11:00,2022-01-03 10:02:12.000000000,M02,shaft,B,False,51.2
J500111,2022-01-03 09:31:00,2022-01-03 10:20:24.000000000,M10,flange,B,False,49.4
J500112,2022-01-03 10:07:00,2022-01-03 10:57:30.000000000,M10,plate,B,False,50.5
J500113,2022-01-03 10:20:00,2022-01-03 11:10:12.000000000,M07,housing,B,False,50.2
J500114,2022-01-03 10:35:00,2022-01-03 11:27:54.000000000,M12,bracket,B,False,52.9
J500115,2022-01-03 11:20:00,2022-01-03 12:11:24.000000000,M04,flange,B,False,51.4
J500116,2022-01-03 12:33:00,2022-01-03 13:20:48.000000000,M05,flange,B,False,47.8
J500117,2022-01-03 13:24:00,2022-01-03 14:12:42.000000000,M06,plate,B,False,48.7
J500118,2022-01-03 13:49:00,2022-01-03 14:40:06.000000000,M04,gear,B,False,51.1
J500119,2022-01-03 14:05:00,2022-01-03 14:51:48.000000000,M02,housing,B,False,46.8
J500120,2022-01-03 14:10:00,2022-01-03 14:59:12.000000000,M08,bracket,B,False,49.2
J500121,2022-01-03 15:06:00,2022-01-03 15:59:00.000000000,M11,housing,B,False,53.0
J500122,2022-01-03 15:39:00,2022-01-03 16:31:54.000000000,M02,flange,B,False,52.9
J500123,2022-01-03 17:38:00,2022-01-03 18:29:36.000000000,M02,plate,C,False,51.6
J500124,2022-01-03 18:14:00,2022-01-03 19:05:30.000000000,M02,shaft,C,False,51.5
J500125,2022-01-03 18:52:00,2022-01-03 19:40:24.000000000,M02,plate,C,False,48.4
J500126,2022-01-03 19:23:00,2022-01-03 20:10:42.000000000,M09,bracket,C,False,47.7
J500127,2022-01-03 21:42:00,2022-01-03 22:33:54.000000000,M12,plate,C,False,51.9
J500128,2022-01-03 22:42:00,2022-01-03 23:31:12.000000000,M07,flange,C,False,49.2
J500129,2022-01-03 22:56:00,2022-01-03 23:46:48.000000000,M12,plate,C,False,50.8
J500130,2022-01-03 23:02:00,2022-01-03 23:55:30.000000000,M04,gear,C,False,53.5
J500131,2022-01-03 23:18:00,2022-01-04 00:01:42.000000000,M06,housing,C,False,43.7
J500132,2022-01-03 23:57:00,2022-01-04 00:46:00.000000000,M10,shaft,C,False,49.0
J500133,2022-01-04 00:26:00,2022-01-04 01:20:42.000000000,M01,shaft,A,False,54.7
J500134,2022-01-04 01:17:00,2022-01-04 02:11:42.000000000,M02,flange,A,False,54.7
J500135,2022-01-04 01:20:00,2022-01-04 02:11:06.000000000,M07,plate,A,False,51.1
J500136,2022-01-04 02:12:00,2022-01-04 03:06:48.000000000,M03,housing,A,False,54.8
J500137,2022-01-04 02:13:00,2022-01-04 03:01:36.000000000,M06,housing,A,False,48.6
J500138,2022-01-04 02:39:00,2022-01-04 03:33:36.000000000,M10,housing,A,True,54.6
J500139,2022-01-04 02:51:00,2022-01-04 03:43:48.000000000,M04,flange,A,False,52.8
J500140,2022-01-04 04:53:00,2022-01-04 05:49:30.000000000,M12,housing,A,False,56.5
J500141,2022-01-04 05:08:00,2022-01-04 06:00:06.000000000,M05,housing,A,False,52.1
J500142,2022-01-04 05:24:00,2022-01-04 06:18:48.000000000,M04,housing,A,False,54.8
J500143,2022-01-04 06:00:00,2022-01-04 06:53:00.000000000,M08,bracket,A,False,53.0
J500144,2022-01-04 07:06:00,2022-01-04 08:00:36.000000000,M06,housing,A,False,54.6
J500145,2022-01-04 07:36:00,2022-01-04 08:31:42.000000000,M11,housing,A,False,55.7
J500146,2022-01-04 07:36:00,2022-01-04 08:27:06.000000000,M09,bracket,A,False,51.1
J500147,2022-01-04 08:09:00,2022-01-04 09:03:42.000000000,M02,flange,B,False,54.7
J500148,2022-01-04 08:16:00,2022-01-04 09:15:12.000000000,M06,housing,B,False,59.2
J500149,2022-01-04 08:46:00,2022-01-04 09:38:42.000000000,M01,plate,B,False,52.7
J500150,2022-01-04 10:02:00,2022-01-04 10:58:30.000000000,M12,flange,B,False,56.5
J500151,2022-01-04 10:44:00,2022-01-04 11:40:30.000000000,M01,bracket,B,False,56.5
J500152,2022-01-04 11:09:00,2022-01-04 12:03:54.000000000,M12,plate,B,False,54.9
J500153,2022-01-04 11:33:00,2022-01-04 12:27:12.000000000,M01,bracket,B,False,54.2
J500154,2022-01-04 12:13:00,2022-01-04 13:11:36.000000000,M01,flange,B,False,58.6
J500155,2022-01-04 12:53:00,2022-01-04 13:46:18.000000000,M06,flange,B,False,53.3
J500156,2022-01-04 14:34:00,2022-01-04 15:28:42.000000000,M06,bracket,B,False,54.7
J500157,2022-01-04 14:51:00,2022-01-04 15:44:54.000000000,M04,plate,B,False,53.9
J500158,2022-01-04 15:10:00,2022-01-04 16:08:36.000000000,M02,bracket,B,False,58.6
J500159,2022-01-04 15:12:00,2022-01-04 16:04:24.000000000,M09,gear,B,False,52.4
J500160,2022-01-04 15:28:00,2022-01-04 16:16:42.000000000,M07,housing,B,False,48.7
J500161,2022-01-04 16:43:00,2022-01-04 17:39:00.000000000,M11,shaft,C,False,56.0
J500162,2022-01-04 18:46:00,2022-01-04 19:43:00.000000000,M08,shaft,C,False,57.0
J500163,2022-01-04 18:49:00,2022-01-04 19:44:54.000000000,M12,gear,C,False,55.9
J500164,2022-01-04 19:33:00,2022-01-04 20:28:18.000000000,M10,bracket,C,False,55.3
J500165,2022-01-04 19:43:00,2022-01-04 20:37:48.000000000,M05,plate,C,False,54.8
J500166,2022-01-04 21:15:00,2022-01-04 22:11:06.000000000,M07,gear,C,False,56.1
J500167,2022-01-04 21:57:00,2022-01-04 22:49:54.000000000,M09,plate,C,False,52.9
J500168,2022-01-04 22:11:00,2022-01-04 23:02:42.000000000,M06,plate,C,False,51.7
J500169,2022-01-04 23:06:00,2022-01-05 00:00:30.000000000,M05,flange,C,False,54.5
J500170,2022-01-04 23:37:00,2022-01-05 00:33:18.000000000,M12,housing,C,False,56.3
J500171,2022-01-04 23:57:00,2022-01-05 00:48:42.000000000,M01,plate,C,False,51.7
J500172,2022-01-05 00:42:00,2022-01-05 01:42:00.000000000,M01,bracket,A,True,60.0
J500173,2022-01-05 01:39:00,2022-01-05 02:33:54.000000000,M03,flange,A,False,54.9
J500174,2022-01-05 01:40:00,2022-01-05 02:37:18.000000000,M08,housing,A,False,57.3
J500175,2022-01-05 01:44:00,2022-01-05 02:43:30.000000000,M06,bracket,A,False,59.5
J500176,2022-01-05 02:09:00,2022-01-05 03:06:30.000000000,M01,bracket,A,False,57.5
J500177,2022-01-05 02:41:00,2022-01-05 03:40:42.000000000,M09,gear,A,False,59.7
J500178,2022-01-05 02:51:00,2022-01-05 03:51:48.000000000,M02,plate,A,False,60.8
J500179,2022-01-05 03:35:00,2022-01-05 04:31:12.000000000,M03,housing,A,False,56.2
J500180,2022-01-05 04:14:00,2022-01-05 05:14:12.000000000,M09,plate,A,False,60.2
J500181,2022-01-05 04:27:00,2022-01-05 05:26:18.000000000,M11,bracket,A,False,59.3
J500182,2022-01-05 05:34:00,2022-01-05 06:32:54.000000000,M04,shaft,A,False,58.9
J500183,2022-01-05 05:54:00,2022-01-05 06:55:18.000000000,M04,bracket,A,False,61.3
J500184,2022-01-05 08:00:00,2022-01-05 08:58:54.000000000,M05,flange,B,False,58.9
J500185,2022-01-05 08:07:00,2022-01-05 09:09:00.000000000,M05,housing,B,False,62.0
J500186,2022-01-05 10:40:00,2022-01-05 11:36:30.000000000,M03,flange,B,False,56.5
J500187,2022-01-05 10:56:00,2022-01-05 11:56:36.000000000,M04,flange,B,False,60.6
J500188,2022-01-05 11:26:00,2022-01-05 12:25:54.000000000,M01,bracket,B,False,59.9
J500189,2022-01-05 11:37:00,2022-01-05 12:37:12.000000000,M09,flange,B,False,60.2
J500190,2022-01-05 11:46:00,2022-01-05 12:47:42.000000000,M07,shaft,B,False,61.7
J500191,2022-01-05 11:56:00,2022-01-05 12:57:24.000000000,M03,housing,B,False,61.4
J500192,2022-01-05 13:12:00,2022-01-05 14:17:24.000000000,M11,shaft,B,False,65.4
J500193,2022-01-05 13:22:00,2022-01-05 14:23:12.000000000,M04,plate,B,False,61.2
J500194,2022-01-05 13:35:00,2022-01-05 14:31:42.000000000,M01,housing,B,False,56.7
J500195,2022-01-05 13:36:00,2022-01-05 14:32:30.000000000,M02,plate,B,False,56.5
J500196,2022-01-05 13:41:00,2022-01-05 14:37:18.000000000,M02,housing,B,False,56.3
J500197,2022-01-05 14:56:00,2022-01-05 15:53:36.000000000,M06,bracket,B,False,57.6
J500198,2022-01-05 15:01:00,2022-01-05 16:04:18.000000000,M06,flange,B,False,63.3
J500199,2022-01-05 15:22:00,2022-01-05 16:20:36.000000000,M10,shaft,B,False,58.6
J500200,2022-01-05 15:28:00,2022-01-05 16:29:36.000000000,M01,flange,B,False,61.6
J500201,2022-01-05 15:38:00,2022-01-05 16:36:24.000000000,M10,housing,B,False,58.4
J500202,2022-01-05 16:18:00,2022-01-05 17:17:42.000000000,M04,housing,C,False,59.7
J500203,2022-01-05 17:03:00,2022-01-05 17:58:24.000000000,M03,plate,C,False,55.4
J500204,2022-01-05 17:05:00,2022-01-05 18:08:00.000000000,M05,flange,C,False,63.0
J500205,2022-01-05 17:15:00,2022-01-05 18:11:36.000000000,M01,shaft,C,False,56.6
J500206,2022-01-05 17:43:00,2022-01-05 18:41:36.000000000,M06,shaft,C,False,58.6
J500207,2022-01-05 18:09:00,2022-01-05 19:04:54.000000000,M07,plate,C,True,55.9
J500208,2022-01-05 18:24:00,2022-01-05 19:17:18.000000000,M12,flange,C,False,53.3
J500209,2022-01-05 19:11:00,2022-01-05 20:10:12.000000000,M01,shaft,C,False,59.2
J500210,2022-01-05 20:18:00,2022-01-05 21:18:30.000000000,M02,shaft,C,False,60.5
J500211,2022-01-05 20:47:00,2022-01-05 21:45:06.000000000,M11,gear,C,False,58.1
J500212,2022-01-05 21:09:00,2022-01-05 22:08:36.000000000,M07,plate,C,False,59.6
J500213,2022-01-05 21:13:00,2022-01-05 22:09:24.000000000,M05,plate,C,False,56.4
J500214,2022-01-05 21:47:00,2022-01-05 22:48:48.000000000,M02,housing,C,False,61.8
J500215,2022-01-05 23:24:00,2022-01-06 00:17:42.000000000,M08,bracket,C,False,53.7
J500216,2022-01-05 23:40:00,2022-01-06 00:38:06.000000000,M02,bracket,C,False,58.1
J500217,2022-01-06 00:10:00,2022-01-06 01:08:06.000000000,M01,bracket,A,False,58.1
J500218,2022-01-06 00:12:00,2022-01-06 01:14:06.000000000,M11,flange,A,False,62.1
J500219,2022-01-06 00:30:00,2022-01-06 01:33:30.000000000,M12,flange,A,False,63.5
J500220,2022-01-06 00:51:00,2022-01-06 01:53:06.000000000,M03,shaft,A,False,62.1
J500221,2022-01-06 01:56:00,2022-01-06 02:53:12.000000000,M01,plate,A,False,57.2
J500222,2022-01-06 02:56:00,2022-01-06 03:55:48.000000000,M09,flange,A,False,59.8
J500223,2022-01-06 04:06:00,2022-01-06 05:08:30.000000000,M10,gear,A,False,62.5
J500224,2022-01-06 04:08:00,2022-01-06 05:07:36.000000000,M06,housing,A,False,59.6
J500225,2022-01-06 06:32:00,2022-01-06 07:31:36.000000000,M11,flange,A,False,59.6
J500226,2022-01-06 08:42:00,2022-01-06 09:47:05.999999999,M05,housing,B,False,65.1
J500227,2022-01-06 09:20:00,2022-01-06 10:21:06.000000000,M01,flange,B,False,61.1
J500228,2022-01-06 09:36:00,2022-01-06 10:36:36.000000000,M12,gear,B,False,60.6
J500229,2022-01-06 12:08:00,2022-01-06 13:06:06.000000000,M08,shaft,B,False,58.1
J500230,2022-01-06 12:11:00,2022-01-06 13:12:54.000000000,M05,flange,B,False,61.9
J500231,2022-01-06 12:57:00,2022-01-06 13:58:00.000000000,M01,flange,B,False,61.0
J500232,2022-01-06 13:00:00,2022-01-06 14:01:48.000000000,M03,gear,B,False,61.8
J500233,2022-01-06 13:25:00,2022-01-06 14:26:48.000000000,M06,plate,B,False,61.8
J500234,2022-01-06 14:34:00,2022-01-06 15:36:06.000000000,M05,gear,B,False,62.1
J500235,2022-01-06 14:45:00,2022-01-06 15:42:06.000000000,M10,housing,B,False,57.1
J500236,2022-01-06 14:58:00,2022-01-06 16:00:00.000000000,M04,shaft,B,False,62.0
J500237,2022-01-06 15:39:00,2022-01-06 16:38:30.000000000,M07,gear,B,False,59.5
J500238,2022-01-06 16:09:00,2022-01-06 17:08:18.000000000,M08,flange,C,False,59.3
J500239,2022-01-06 16:41:00,2022-01-06 17:41:18.000000000,M09,flange,C,False,60.3
J500240,2022-01-06 16:56:00,2022-01-06 18:00:18.000000000,M01,flange,C,False,64.3
J500241,2022-01-06 17:50:00,2022-01-06 18:45:24.000000000,M04,gear,C,False,55.4
J500242,2022-01-06 17:59:00,2022-01-06 19:02:18.000000000,M05,housing,C,False,63.3
J500243,2022-01-06 18:23:00,2022-01-06 19:24:36.000000000,M02,bracket,C,False,61.6
J500244,2022-01-06 18:55:00,2022-01-06 19:55:42.000000000,M10,housing,C,False,60.7
J500245,2022-01-06 19:35:00,2022-01-06 20:36:12.000000000,M08,bracket,C,False,61.2
J500246,2022-01-06 21:06:00,2022-01-06 22:06:06.000000000,M04,flange,C,False,60.1
J500247,2022-01-06 21:20:00,2022-01-06 22:22:06.000000000,M05,shaft,C,False,62.1
J500248,2022-01-06 21:27:00,2022-01-06 22:27:06.000000000,M10,gear,C,False,60.1
J500249,2022-01-06 21:28:00,2022-01-06 22:26:54.000000000,M05,gear,C,False,58.9
J500250,2022-01-06 21:43:00,2022-01-06 22:44:54.000000000,M03,flange,C,False,61.9
J500251,2022-01-06 22:41:00,2022-01-06 23:42:12.000000000,M02,gear,C,False,61.2
J500252,2022-01-06 22:57:00,2022-01-06 23:58:30.000000000,M03,shaft,C,False,61.5
J500253,2022-01-06 23:04:00,2022-01-07 00:02:00.000000000,M11,housing,C,False,58.0
J500254,2022-01-06 23:37:00,2022-01-07 00:36:42.000000000,M08,bracket,C,False,59.7
J500255,2022-01-06 23:42:00,2022-01-07 00:41:12.000000000,M10,housing,C,False,59.2
J500256,2022-01-07 00:44:00,2022-01-07 01:44:12.000000000,M06,bracket,A,False,60.2
J500257,2022-01-07 01:13:00,2022-01-07 02:13:24.000000000,M04,bracket,A,False,60.4
J500258,2022-01-07 02:09:00,2022-01-07 03:11:30.000000000,M04,shaft,A,False,62.5
J500259,2022-01-07 02:20:00,2022-01-07 03:19:42.000000000,M12,flange,A,False,59.7
J500260,2022-01-07 02:25:00,2022-01-07 03:25:42.000000000,M04,bracket,A,False,60.7
J500261,2022-01-07 03:14:00,2022-01-07 04:15:30.000000000,M07,flange,A,False,61.5
J500262,2022-01-07 03:25:00,2022-01-07 04:24:24.000000000,M03,bracket,A,False,59.4
J500263,2022-01-07 03:37:00,2022-01-07 04:36:30.000000000,M05,housing,A,False,59.5
J500264,2022-01-07 03:40:00,2022-01-07 04:36:06.000000000,M01,bracket,A,False,56.1
J500265,2022-01-07 03:44:00,2022-01-07 04:42:00.000000000,M11,bracket,A,True,58.0
J500266,2022-01-07 04:07:00,2022-01-07 05:09:12.000000000,M12,bracket,A,False,62.2
J500267,2022-01-07 04:12:00,2022-01-07 05:13:48.000000000,M09,shaft,A,False,61.8
J500268,2022-01-07 04:15:00,2022-01-07 05:14:48.000000000,M01,gear,A,False,59.8
J500269,2022-01-07 04:31:00,2022-01-07 05:29:42.000000000,M10,flange,A,False,58.7
J500270,2022-01-07 04:58:00,2022-01-07 06:01:00.000000000,M02,flange,A,False,63.0
J500271,2022-01-07 05:17:00,2022-01-07 06:17:36.000000000,M09,gear,A,False,60.6
J500272,2022-01-07 05:44:00,2022-01-07 06:43:42.000000000,M01,housing,A,False,59.7
J500273,2022-01-07 06:16:00,2022-01-07 07:14:54.000000000,M08,plate,A,False,58.9
J500274,2022-01-07 07:24:00,2022-01-07 08:21:24.000000000,M12,plate,A,False,57.4
J500275,2022-01-07 09:02:00,2022-01-07 09:58:48.000000000,M06,housing,B,False,56.8
J500276,2022-01-07 09:31:00,2022-01-07 10:30:00.000000000,M07,gear,B,False,59.0
J500277,2022-01-07 09:42:00,2022-01-07 10:43:12.000000000,M07,gear,B,False,61.2
J500278,2022-01-07 09:43:00,2022-01-07 10:45:06.000000000,M05,bracket,B,False,62.1
J500279,2022-01-07 10:18:00,2022-01-07 11:18:06.000000000,M01,gear,B,False,60.1
J500280,2022-01-07 11:35:00,2022-01-07 12:36:00.000000000,M06,gear,B,False,61.0
J500281,2022-01-07 11:43:00,2022-01-07 12:44:30.000000000,M08,gear,B,False,61.5
J500282,2022-01-07 11:58:00,2022-01-07 12:57:18.000000000,M08,plate,B,False,59.3
J500283,2022-01-07 12:21:00,2022-01-07 13:20:06.000000000,M11,housing,B,False,59.1
J500284,2022-01-07 12:43:00,2022-01-07 13:44:18.000000000,M02,shaft,B,False,61.3
J500285,2022-01-07 12:45:00,2022-01-07 13:46:48.000000000,M06,bracket,B,False,61.8
J500286,2022-01-07 13:33:00,2022-01-07 14:32:24.000000000,M07,flange,B,False,59.4
J500287,2022-01-07 14:04:00,2022-01-07 15:01:30.000000000,M01,gear,B,False,57.5
J500288,2022-01-07 14:49:00,2022-01-07 15:51:18.000000000,M05,plate,B,False,62.3
