Date,Weekday,Week_Number,Month,Year,Hour,Country,Region,Site,Queue_Name,Channel,All_Units_Filter,Queue_Units_Filter,ASU_Tier_Filter,Business_Unit,planned_Volume,offered_Volume,handled_Volume,abandoned_Volume,backlog_Volume,aHT_Seconds,handle_Time_Total,Wait_Time_Avg,shrinkage_Percent,required_FTE,agent_Count,utilization_percent,Active_Agents,Service_Level_Percent,Occupancy_Percent
2022-10-01,Saturday,39,October,2022,5,Hong Kong,APAC,Hong Kong Hub,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 1,Retail,431,448,447,1,1,455,203385,1.015625,24,7,9,79,7,70,86
2021-05-17,Monday,20,May,2021,0,China,APAC,Shanghai,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,Banking,478,502,476,26,26,825,392700,42.72908367,29,13,17,88,15,85,67
2024-09-03,Tuesday,36,September,2024,8,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,E-commerce,140,157,137,20,20,462,63294,58.85350318,26,2,3,74,2,75,66
2024-03-06,Wednesday,10,March,2024,18,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Banking,173,159,132,27,27,360,47520,61.13207547,26,1,1,82,1,86,72
2023-11-24,Friday,47,November,2023,17,Ireland,EMEA,Dublin,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 2,Telecom,230,247,232,15,15,882,204624,53.56275304,25,7,9,91,8,83,90
2021-09-16,Thursday,37,September,2021,14,Czech Republic,EMEA,Czech Republic Hub,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 2,Healthcare,134,122,113,9,9,687,77631,50.68032787,20,2,2,87,2,95,90
2022-02-08,Tuesday,6,February,2022,11,Ukraine,EMEA,Ukraine Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 3,E-commerce,375,375,351,24,24,861,302211,55.104,33,10,13,69,9,76,88
2024-08-24,Saturday,34,August,2024,9,Greece,EMEA,Greece Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 1,Healthcare,174,194,190,4,4,323,61370,6.659793814,16,2,2,79,2,90,73
2023-04-06,Thursday,14,April,2023,22,Chile,AMER,Chile Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 3,Retail,466,490,469,21,21,612,287028,26.22857143,34,9,12,69,8,81,67
2021-04-15,Thursday,15,April,2021,7,Philippines,APAC,Manila,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 3,Healthcare,213,234,204,30,30,746,152184,95.64102564,30,5,7,72,5,89,90
2024-05-09,Thursday,19,May,2024,5,Paraguay,AMER,Paraguay Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,Retail,388,373,347,26,26,243,84321,16.9383378,18,2,2,76,2,76,84
2026-08-02,Sunday,31,August,2026,3,Mongolia,APAC,Mongolia Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,Retail,315,299,296,3,3,490,145040,4.91638796,18,5,6,66,4,81,78
2023-06-23,Friday,25,June,2023,4,Canada,AMER,Toronto,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 1,E-commerce,236,226,203,23,23,243,49329,24.7300885,17,1,1,69,1,70,68
2023-10-17,Tuesday,42,October,2023,12,United States,AMER,New York,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 3,Healthcare,274,279,276,3,3,845,233220,9.086021505,22,8,10,71,7,86,61
2022-06-18,Saturday,24,June,2022,16,Israel,EMEA,Israel Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,E-commerce,362,384,384,0,0,699,268416,0.0,16,9,10,68,7,80,83
2023-07-26,Wednesday,30,July,2023,15,Sri Lanka,APAC,Sri Lanka Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,E-commerce,196,225,201,24,24,248,49848,26.45333333,16,1,1,87,1,95,61
2023-12-15,Friday,50,December,2023,2,Pakistan,APAC,Pakistan Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,Retail,123,112,109,3,3,678,73902,18.16071429,22,2,2,65,1,72,90
2025-02-01,Saturday,5,February,2025,22,Portugal,EMEA,Portugal Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 2,Telecom,456,467,451,16,16,457,206107,15.65738758,28,7,9,73,7,92,72
2022-05-09,Monday,19,May,2022,9,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 2,Retail,139,151,125,26,26,429,53625,73.86754967,31,1,1,89,1,74,76
2025-05-26,Monday,22,May,2025,8,Pakistan,APAC,Pakistan Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 2,Telecom,375,397,376,21,21,280,105280,14.81108312,18,3,4,79,3,84,60
2023-03-24,Friday,12,March,2023,11,Portugal,EMEA,Portugal Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,Banking,246,268,251,17,17,511,128261,32.4141791,18,4,5,94,5,92,71
2021-01-18,Monday,3,January,2021,22,Finland,EMEA,Finland Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Banking,183,184,174,10,10,688,119712,37.39130435,34,4,5,71,4,75,90
2021-11-03,Wednesday,44,November,2021,1,South Korea,APAC,South Korea Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Retail,351,337,320,17,17,193,61760,9.735905045,17,2,2,77,2,74,83
2025-08-20,Wednesday,34,August,2025,21,Czech Republic,EMEA,Czech Republic Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Healthcare,162,173,150,23,23,444,66600,59.02890173,21,2,2,75,2,78,80
2021-12-19,Sunday,50,December,2021,15,United States,AMER,Dallas,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Banking,293,319,310,9,9,604,187240,17.04075235,29,6,8,85,7,82,88
2026-02-23,Monday,9,February,2026,4,Italy,EMEA,Rome,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 1,Healthcare,212,216,204,12,12,619,126276,34.38888889,33,4,5,78,4,89,89
2024-03-02,Saturday,9,March,2024,23,Belgium,EMEA,Belgium Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 2,Healthcare,105,131,126,5,5,642,80892,24.50381679,24,2,2,75,2,95,78
2024-11-18,Monday,47,November,2024,7,Kenya,EMEA,Kenya Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,Retail,80,88,77,11,11,302,23254,37.75,26,0,0,86,0,85,87
2022-06-07,Tuesday,23,June,2022,16,Paraguay,AMER,Paraguay Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,Telecom,234,263,253,10,10,385,97405,14.63878327,17,3,4,66,3,70,81
2021-06-15,Tuesday,24,June,2021,9,Belgium,EMEA,Belgium Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,E-commerce,94,96,94,2,2,841,79054,17.52083333,19,2,2,74,1,91,67
2023-02-25,Saturday,8,February,2023,14,Italy,EMEA,Rome,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 3,Retail,398,399,386,13,13,380,146680,12.38095238,25,5,6,74,4,82,76
2026-02-24,Tuesday,9,February,2026,23,Portugal,EMEA,Portugal Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 2,E-commerce,157,176,163,13,13,573,93399,42.32386364,18,3,4,86,3,85,73
2021-04-05,Monday,14,April,2021,8,Bangladesh,APAC,Bangladesh Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,Retail,444,431,423,8,8,827,349821,15.35034803,18,12,14,94,13,72,65
2023-09-24,Sunday,38,September,2023,16,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Banking,207,235,233,2,2,825,192225,7.021276596,19,6,7,75,5,79,69
2024-11-26,Tuesday,48,November,2024,15,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 3,Retail,402,397,394,3,3,872,343568,6.589420655,31,11,14,73,10,70,61
2024-11-10,Sunday,45,November,2024,0,Sweden,EMEA,Sweden Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 1,Healthcare,114,141,131,10,10,216,28296,15.31914894,25,0,0,91,0,83,68
2023-06-17,Saturday,24,June,2023,1,Russia,EMEA,Russia Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Retail,294,299,282,17,17,502,141564,28.54180602,32,4,5,66,3,88,80
2024-02-12,Monday,7,February,2024,12,Paraguay,AMER,Paraguay Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 3,Healthcare,350,353,344,9,9,217,74648,5.532577904,18,2,2,68,1,79,90
2026-02-23,Monday,9,February,2026,11,Hong Kong,APAC,Hong Kong Hub,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 1,Retail,151,135,134,1,1,435,58290,3.222222222,20,2,2,69,1,90,81
2024-02-17,Saturday,7,February,2024,3,Sri Lanka,APAC,Sri Lanka Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Banking,356,382,376,6,6,496,186496,7.790575916,15,6,7,90,6,84,62
2025-08-09,Saturday,32,August,2025,10,Turkey,EMEA,Turkey Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,Telecom,62,85,73,12,12,270,19710,38.11764706,26,0,0,67,0,70,87
2022-10-24,Monday,43,October,2022,5,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,Telecom,187,191,164,27,27,867,142188,122.5602094,20,4,5,86,4,92,78
2025-08-31,Sunday,35,August,2025,13,Turkey,EMEA,Turkey Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 3,E-commerce,220,236,217,19,19,747,162099,60.13983051,18,5,6,93,6,86,88
2025-04-05,Saturday,14,April,2025,7,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,E-commerce,419,408,390,18,18,449,175110,19.80882353,15,6,7,70,5,94,90
2025-06-09,Monday,24,June,2025,6,Chile,AMER,Chile Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,Healthcare,341,365,364,1,1,584,212576,1.6,30,7,9,74,7,86,77
2022-07-23,Saturday,29,July,2022,11,Denmark,EMEA,Denmark Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,Telecom,473,497,468,29,29,800,374400,46.68008048,27,13,17,72,12,85,67
2025-09-27,Saturday,39,September,2025,16,Spain,EMEA,Madrid,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 2,Healthcare,178,188,160,28,28,508,81280,75.65957447,35,2,3,70,2,79,85
2024-03-02,Saturday,9,March,2024,15,Italy,EMEA,Rome,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,E-commerce,150,134,133,1,1,819,108927,6.111940299,29,3,4,66,3,78,68
2021-08-22,Sunday,33,August,2021,23,Mongolia,APAC,Mongolia Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Retail,483,476,452,24,24,679,306908,34.23529412,22,10,12,74,9,74,79
2025-11-18,Tuesday,47,November,2025,5,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 1,Banking,125,116,96,20,20,455,43680,78.44827586,20,1,1,81,1,71,61
2021-09-14,Tuesday,37,September,2021,9,Czech Republic,EMEA,Czech Republic Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,E-commerce,237,255,229,26,26,263,60227,26.81568627,17,2,2,76,2,89,66
2021-10-01,Friday,39,October,2021,0,Ukraine,EMEA,Ukraine Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 3,Banking,199,208,179,29,29,522,93438,72.77884615,25,3,4,84,3,78,60
2021-05-03,Monday,18,May,2021,14,Mongolia,APAC,Mongolia Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 1,Banking,241,226,217,9,9,801,173817,31.89823009,33,6,8,73,6,83,64
2022-02-13,Sunday,6,February,2022,8,China,APAC,Shanghai,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,Healthcare,403,430,405,25,25,251,101655,14.59302326,23,3,4,68,3,70,70
2021-06-25,Friday,25,June,2021,16,China,APAC,Shanghai,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 1,Banking,421,446,432,14,14,676,292032,21.21973094,18,10,12,83,10,91,86
2021-04-24,Saturday,16,April,2021,4,Thailand,APAC,Thailand Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Retail,139,124,95,29,29,297,28215,69.45967742,26,0,0,66,0,89,90
2021-11-02,Tuesday,44,November,2021,4,Portugal,EMEA,Portugal Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,Telecom,413,404,378,26,26,640,241920,41.18811881,28,8,10,73,7,79,86
2021-07-02,Friday,26,July,2021,11,Portugal,EMEA,Portugal Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,Healthcare,261,259,235,24,24,551,129485,51.05791506,27,4,5,67,3,92,79
2024-01-17,Wednesday,3,January,2024,22,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,Banking,427,452,437,15,15,489,213693,16.22787611,18,7,8,66,5,70,78
2022-10-01,Saturday,39,October,2022,16,France,EMEA,Paris,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,Banking,466,467,466,1,1,528,246048,1.130620985,25,8,10,68,7,87,61
2023-04-17,Monday,16,April,2023,7,Sri Lanka,APAC,Sri Lanka Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Retail,100,92,78,14,14,503,39234,76.54347826,29,1,1,81,1,91,63
2025-05-27,Tuesday,22,May,2025,12,New Zealand,APAC,New Zealand Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 2,Retail,193,215,212,3,3,393,83316,5.48372093,17,2,2,83,2,71,69
2022-10-24,Monday,43,October,2022,10,Ukraine,EMEA,Ukraine Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Banking,262,290,266,24,24,513,136458,42.45517241,26,4,5,76,4,81,86
2024-04-09,Tuesday,15,April,2024,7,India,APAC,Bangalore,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 3,Telecom,198,211,198,13,13,583,115434,35.91943128,34,4,5,77,4,74,76
2024-01-08,Monday,2,January,2024,21,Greece,EMEA,Greece Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 2,E-commerce,271,275,251,24,24,434,108934,37.87636364,29,3,4,94,4,87,60
2023-09-24,Sunday,38,September,2023,18,Taiwan,APAC,Taiwan Hub,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 2,E-commerce,200,226,198,28,28,403,79794,49.92920354,23,2,2,95,2,93,63
2021-04-30,Friday,17,April,2021,14,Australia,APAC,Sydney,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 2,E-commerce,269,288,277,11,11,473,131021,18.06597222,20,4,5,92,5,75,63
2021-05-08,Saturday,18,May,2021,6,Philippines,APAC,Cebu,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,Healthcare,253,244,243,1,1,182,44226,0.745901639,33,1,1,65,1,78,75
2023-01-01,Sunday,52,January,2023,19,Vietnam,APAC,Vietnam Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Healthcare,72,95,72,23,23,285,20520,69.0,23,0,0,85,0,80,68
2023-11-27,Monday,48,November,2023,7,Vietnam,APAC,Vietnam Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Healthcare,419,415,403,12,12,349,140647,10.09156627,18,4,5,70,4,73,79
2021-08-08,Sunday,31,August,2021,5,Norway,EMEA,Norway Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,Healthcare,210,201,193,8,8,267,51531,10.62686567,33,1,1,73,1,93,69
2021-03-08,Monday,10,March,2021,9,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 2,Healthcare,304,330,307,23,23,518,159026,36.1030303,33,5,7,67,5,94,74
2024-05-29,Wednesday,22,May,2024,21,Romania,EMEA,Romania Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Banking,404,384,354,30,30,564,199656,44.0625,32,6,8,95,8,86,77
2023-10-28,Saturday,43,October,2023,15,Denmark,EMEA,Denmark Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 1,Healthcare,120,103,80,23,23,749,59920,167.2524272,19,2,2,72,1,80,89
2024-07-24,Wednesday,30,July,2024,12,Czech Republic,EMEA,Czech Republic Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 1,E-commerce,242,229,228,1,1,496,113088,2.165938865,19,3,4,84,3,73,68
2025-03-07,Friday,10,March,2025,0,Iceland,EMEA,Iceland Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,E-commerce,411,404,393,11,11,500,196500,13.61386139,23,6,7,82,6,72,80
2025-02-06,Thursday,6,February,2025,20,Morocco,EMEA,Morocco Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Telecom,125,118,117,1,1,260,30420,2.203389831,28,1,1,65,1,72,72
2024-09-29,Sunday,39,September,2024,16,Denmark,EMEA,Denmark Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 1,Retail,126,141,128,13,13,426,54528,39.27659574,18,1,1,79,1,71,75
2024-08-30,Friday,35,August,2024,18,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,Banking,155,182,157,25,25,455,71435,62.5,17,2,2,90,2,76,89
2025-07-20,Sunday,29,July,2025,5,Italy,EMEA,Rome,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Retail,166,146,139,7,7,778,108142,37.30136986,33,3,4,70,3,83,81
2024-08-16,Friday,33,August,2024,4,Canada,AMER,Vancouver,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 3,E-commerce,376,381,375,6,6,319,119625,5.023622047,30,4,5,74,4,87,87
2024-03-07,Thursday,10,March,2024,0,Australia,APAC,Sydney,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 1,Telecom,373,367,337,30,30,369,124353,30.16348774,31,4,5,76,4,94,83
2022-09-30,Friday,39,September,2022,2,China,APAC,Shanghai,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Banking,444,429,404,25,25,568,229472,33.1002331,20,7,8,75,6,78,83
2025-01-31,Friday,5,January,2025,12,North Korea,APAC,North Korea Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,Telecom,260,253,228,25,25,869,198132,85.86956522,29,6,8,74,6,72,87
2024-08-26,Monday,35,August,2024,4,Thailand,APAC,Thailand Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 1,E-commerce,296,310,304,6,6,749,227696,14.49677419,24,7,9,95,9,84,88
2022-10-12,Wednesday,41,October,2022,19,Japan,APAC,Tokyo,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Telecom,114,121,115,6,6,656,75440,32.52892562,35,2,3,85,3,90,60
2025-05-20,Tuesday,21,May,2025,0,Japan,APAC,Tokyo,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 2,Telecom,260,255,231,24,24,743,171633,69.92941176,24,5,6,75,5,91,75
2021-01-13,Wednesday,2,January,2021,6,Pakistan,APAC,Pakistan Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 3,Telecom,298,301,288,13,13,698,201024,30.1461794,32,6,8,79,6,91,62
2025-03-22,Saturday,12,March,2025,18,Australia,APAC,Sydney,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Banking,197,211,197,14,14,696,137112,46.18009479,15,4,5,85,4,81,90
2022-12-28,Wednesday,52,December,2022,23,Chile,AMER,Chile Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,Telecom,236,231,205,26,26,462,94710,52.0,27,3,4,75,3,79,65
2021-08-18,Wednesday,33,August,2021,23,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 2,Healthcare,418,443,435,8,8,657,285795,11.86455982,32,9,12,86,10,75,90
2022-11-17,Thursday,46,November,2022,8,Pakistan,APAC,Pakistan Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,E-commerce,185,205,193,12,12,369,71217,21.6,17,2,2,94,2,90,75
2022-11-27,Sunday,47,November,2022,19,Denmark,EMEA,Denmark Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 2,Telecom,215,195,194,1,1,614,119116,3.148717949,24,4,5,81,4,82,81
2022-10-01,Saturday,39,October,2022,8,Indonesia,APAC,Indonesia Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Healthcare,206,205,185,20,20,336,62160,32.7804878,29,2,3,82,2,78,77
2024-03-03,Sunday,9,March,2024,20,Brazil,AMER,Sao Paulo,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 2,Banking,107,94,73,21,21,284,20732,63.44680851,15,0,0,75,0,78,60
2022-02-14,Monday,7,February,2022,18,Vietnam,APAC,Vietnam Hub,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 1,Healthcare,133,119,99,20,20,552,54648,92.77310924,17,1,1,76,1,88,78
2022-05-26,Thursday,21,May,2022,21,Japan,APAC,Tokyo,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Banking,77,90,77,13,13,558,42966,80.6,24,1,1,71,1,88,69
2024-12-07,Saturday,49,December,2024,12,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 1,Telecom,131,129,105,24,24,293,30765,54.51162791,29,1,1,94,1,83,82
2021-09-22,Wednesday,38,September,2021,7,Slovakia,EMEA,Slovakia Hub,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 1,Banking,447,447,418,29,29,248,103664,16.08948546,29,3,4,92,4,88,71
2024-09-08,Sunday,36,September,2024,3,Turkey,EMEA,Turkey Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 3,Retail,86,90,71,19,19,345,24495,72.83333333,28,0,0,77,0,75,71
2023-10-06,Friday,40,October,2023,8,Norway,EMEA,Norway Hub,RETENTION_VOICE_T2,Voice,Consumer,Retention,Tier 2,Healthcare,105,106,89,17,17,667,59363,106.9716981,30,2,3,85,3,93,86
2022-11-11,Friday,45,November,2022,17,Sri Lanka,APAC,Sri Lanka Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,Healthcare,142,123,100,23,23,484,48400,90.50406504,25,1,1,88,1,85,70
2022-08-27,Saturday,34,August,2022,0,Philippines,APAC,Manila,RETENTION_VOICE_T2,Voice,Enterprise,Retention,Tier 2,Healthcare,302,294,264,30,30,643,169752,65.6122449,22,5,6,79,5,78,90
2023-07-27,Thursday,30,July,2023,18,France,EMEA,Paris,RETENTION_VOICE_T2,Email,Premium,Retention,Tier 3,Telecom,64,82,62,20,20,467,28954,113.902439,35,1,1,74,1,73,62
2025-08-07,Thursday,32,August,2025,8,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 2,Banking,244,231,222,9,9,193,42846,7.51948052,25,1,1,87,1,74,65
2025-09-13,Saturday,37,September,2025,6,Australia,APAC,Sydney,RETENTION_VOICE_T2,Email,Consumer,Retention,Tier 3,E-commerce,407,411,399,12,12,402,160398,11.73722628,24,5,6,89,5,72,81
2021-12-22,Wednesday,51,December,2021,19,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Email,Enterprise,Retention,Tier 3,E-commerce,319,320,307,13,13,719,220733,29.209375,26,7,9,68,6,88,67
2025-05-16,Friday,20,May,2025,19,Italy,EMEA,Rome,RETENTION_VOICE_T2,Chat,Premium,Retention,Tier 3,Banking,237,247,221,26,26,541,119561,56.94736842,26,4,5,94,5,88,78
2026-01-01,Thursday,1,January,2026,17,Canada,AMER,Vancouver,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,E-commerce,399,417,404,13,13,751,303404,23.41247002,32,10,13,91,12,71,64
2026-11-02,Monday,45,November,2026,9,Thailand,APAC,Thailand Hub,RETENTION_VOICE_T2,Voice,Premium,Retention,Tier 2,Retail,98,116,112,4,4,567,63504,19.55172414,24,2,2,78,2,79,78
2024-03-30,Saturday,13,March,2024,1,Luxembourg,EMEA,Luxembourg Hub,RETENTION_VOICE_T2,Chat,Consumer,Retention,Tier 1,E-commerce,175,192,181,11,11,266,48146,15.23958333,33,1,1,77,1,71,87
2025-09-05,Friday,36,September,2025,21,Netherlands,EMEA,Amsterdam,RETENTION_VOICE_T2,Chat,Enterprise,Retention,Tier 2,Retail,63,63,54,9,9,275,14850,39.28571429,18,0,0,88,0,83,76
